dataset,chrom,position_1_based,center_zero_based,window_start_zero_based,window_end_zero_based_exclusive,variant_index_zero_based,passed
mendelian_traits,1,948245,948244,948181,948436,63,True
mendelian_traits,19,39830764,39830763,39830700,39830955,63,True
mendelian_traits,X,156025095,156025094,156025031,156025286,63,True
mendelian_traits,1,948245,948244,948117,948372,127,True
mendelian_traits,19,39830764,39830763,39830636,39830891,127,True
mendelian_traits,X,156025095,156025094,156024967,156025222,127,True
mendelian_traits,1,948245,948244,948053,948308,191,True
mendelian_traits,19,39830764,39830763,39830572,39830827,191,True
mendelian_traits,X,156025095,156025094,156024903,156025158,191,True
complex_traits,1,868052,868051,867988,868243,63,True
complex_traits,19,6897381,6897380,6897317,6897572,63,True
complex_traits,X,155648173,155648172,155648109,155648364,63,True
complex_traits,1,868052,868051,867924,868179,127,True
complex_traits,19,6897381,6897380,6897253,6897508,127,True
complex_traits,X,155648173,155648172,155648045,155648300,127,True
complex_traits,1,868052,868051,867860,868115,191,True
complex_traits,19,6897381,6897380,6897189,6897444,191,True
complex_traits,X,155648173,155648172,155647981,155648236,191,True
sge,17,43045705,43045704,43045641,43045896,63,True
sge,3,52402803,52402802,52402739,52402994,63,True
sge,3,10149962,10149961,10149898,10150153,63,True
sge,17,43045705,43045704,43045577,43045832,127,True
sge,3,52402803,52402802,52402675,52402930,127,True
sge,3,10149962,10149961,10149834,10150089,127,True
sge,17,43045705,43045704,43045513,43045768,191,True
sge,3,52402803,52402802,52402611,52402866,191,True
sge,3,10149962,10149961,10149770,10150025,191,True
